obs,col_direction,cpd,Y_test,bkg_type,c_base,Y_fg,Y_ambient,Y_sum,c_phys,mean_log_c_phys_meas,median_log_c_phys_meas,std_log_c_phys_meas,iqr_log_c_phys_meas,N_meas
o2,2,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.1,10,15.0101485,25.0101485,0.039983769,-1.352961771,-1.337910271,0.085326397,0.132453198,8
o2,2,2,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.07,100,101.0109999,201.0109999,0.034823965,-1.376843685,-1.373833385,0.051791159,0.072247199,8
o2,2,2,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.1,100,104.0110296,204.0110296,0.049016958,-1.250952799,-1.249447649,0.073226082,0.066226599,8
o2,3,2,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,2.0100198,3.0100198,0.265778983,-0.611602965,-0.647726564,0.141598425,0.240823997,8
o2,3,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,10,12.0101188,22.0101188,0.136300945,-0.779707583,-0.769171533,0.10759153,0.192659197,8
o2,3,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,10,15.0101485,25.0101485,0.319870152,-0.513088083,-0.495026283,0.092825524,0.144494398,8
o2,3,2,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,100,96.01095041,196.0109504,0.153052674,-0.733880981,-0.736891281,0.069246247,0.114391398,8
o2,3,2,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,100,109.0110791,209.0110791,0.38275483,-0.47126472,-0.44718232,0.107121249,0.192659197,8
o3,1,2,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,1,4.805676992,5.805676992,0.05167356,-1.187391716,-1.214484416,0.105513973,0.114391398,8
o3,1,2,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,15.27635002,16.27635002,0.049151069,-1.060117287,-1.055601837,0.076138234,0.120411998,8
o3,1,2,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,1,2.0100198,3.0100198,0.099667118,-0.893077299,-0.893077299,0.083671797,0.114391398,8
o3,1,2,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,2.0100198,3.0100198,0.265778983,-0.534840316,-0.539355766,0.056455307,0.096329599,8
o3,1,2,10,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,10,55.68973951,65.68973951,0.045669233,-1.222974587,-1.250067286,0.100073476,0.144494398,8
o3,1,2,10,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,10,160.3789957,170.3789957,0.046954145,-1.265109768,-1.244037668,0.059600898,0.060205999,8
o3,1,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,10,12.0101188,22.0101188,0.136300945,-0.833892982,-0.847439332,0.051866092,0.084288399,8
o3,1,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,10,13.0101287,23.0101287,0.347672979,-0.49495266,-0.48893206,0.068115312,0.096329599,8
o3,1,2,100,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,100,442.710599,542.710599,0.05527808,-1.239385249,-1.257447049,0.116031905,0.120411998,8
o3,1,2,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,100,98.01097021,198.0109702,0.404018019,-0.384568365,-0.375537465,0.0777034,0.090308999,8
o3,1,4,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,1,5.793984958,6.793984958,0.044156707,-1.291787027,-1.282756127,0.172193368,0.174597397,8
o3,1,4,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,21.42400515,22.42400515,0.035676053,-1.145088052,-1.164655002,0.184917426,0.270926996,8
o3,1,4,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,1,2.0100198,3.0100198,0.099667118,-0.929200899,-0.947262698,0.134855294,0.138473798,8
o3,1,4,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,2.0100198,3.0100198,0.265778983,-0.525809416,-0.557417566,0.113767265,0.072247199,8
o3,1,4,10,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,10,79.9726664,89.9726664,0.03334346,-1.386680338,-1.380659738,0.094154835,0.120411998,8
o3,1,4,10,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,10,224.7576022,234.7576022,0.034077704,-1.30497348,-1.365179479,0.155806133,0.186638597,8
o3,1,4,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,10,14.0101386,24.0101386,0.124947217,-0.871665263,-0.831026213,0.129837337,0.216741597,8
o3,1,4,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,10,15.0101485,25.0101485,0.319870152,-0.558242583,-0.555232283,0.068342997,0.126432598,8
o3,1,4,100,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,100,587.068975,687.068975,0.043663738,-1.323755484,-1.341817284,0.072533328,0.102350199,8
o3,1,4,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,100,108.0110692,208.0110692,0.144223094,-0.818387942,-0.834944592,0.066089626,0.078267799,8
o3,1,4,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,100,112.0111088,212.0111088,0.377338718,-0.513577629,-0.48347463,0.094154835,0.060205999,8
o3,2,2,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.07,1,1.0100099,2.0100099,0.034825699,-1.354244808,-1.361770558,0.050653864,0.036123599,8
o3,2,2,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.1,1,2.0100198,3.0100198,0.033222373,-1.410837603,-1.424383953,0.055343691,0.072247199,8
o3,2,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.07,10,14.0101386,24.0101386,0.029154351,-1.517234827,-1.523255427,0.034057656,0.048164799,8
o3,2,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.1,10,15.0101485,25.0101485,0.039983769,-1.375539021,-1.392095671,0.103469776,0.150514998,8
o3,2,2,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.07,100,101.0109999,201.0109999,0.034823965,-1.453606334,-1.452101184,0.069302309,0.126432598,8
o3,2,2,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.1,100,104.0110296,204.0110296,0.049016958,-1.300622748,-1.297612448,0.060634517,0.090308999,8
o3,3,2,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,2.0100198,3.0100198,0.265778983,-0.625149315,-0.575479365,0.158499817,0.210720997,8
o3,3,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,10,12.0101188,22.0101188,0.136300945,-0.730037634,-0.721006734,0.131708302,0.186638597,8
o3,3,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,10,15.0101485,25.0101485,0.319870152,-0.513088083,-0.537170483,0.105366642,0.162556198,8
o3,3,2,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,100,96.01095041,196.0109504,0.153052674,-0.77452003,-0.79107668,0.088936771,0.150514998,8
o3,3,2,100,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,100,109.0110791,209.0110791,0.38275483,-0.43062567,-0.417079321,0.100422142,0.096329599,8
o4,1,2,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,1,4.805676992,5.805676992,0.05167356,-1.069990018,-1.069990018,0.043653056,0.072247199,8
o4,1,2,1,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,15.27635002,16.27635002,0.049151069,-1.042055488,-1.043560638,0.095343516,0.150514998,8
o4,1,2,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,1,2.0100198,3.0100198,0.099667118,-0.784706501,-0.802768301,0.156601744,0.156535598,8
o4,1,2,1,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,1,2.0100198,3.0100198,0.265778983,-0.534840316,-0.533335166,0.081651537,0.144494398,8
o4,1,2,10,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,10,55.68973951,65.68973951,0.045669233,-1.168789187,-1.183840687,0.085326397,0.096329599,8
o4,1,2,10,margin-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,10,160.3789957,170.3789957,0.046954145,-1.15222352,-1.075460871,0.168569118,0.192659197,8
o4,1,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,10,12.0101188,22.0101188,0.136300945,-0.766161233,-0.775192133,0.1789185,0.307050596,8
o4,1,2,10,max-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.8,10,13.0101287,23.0101287,0.347672979,-0.422705461,-0.470870261,0.075882764,0.126432598,8
